round1
room1,1,2,3,4,5
room2,6,7,8,9,10
room3,11,12,13,14,15
room4,16,17,18,19,20
room5,21,22,23,24,25
round2
room1,1,6,11,16,21,26
room2,2,7,12,17,22,27
room3,3,8,13,18,23
room4,4,9,14,19,24
room5,5,10,15,20,25
round3
room1,1,7,13,19,25
room2,2,8,14,20,21
room3,3,9,15,16,22
room4,4,10,11,17,23
room5,5,6,12,18,24
round4
room1,1,8,15,17,24
room2,2,9,11,18,25
room3,3,10,12,19,21
room4,4,6,13,20,22
room5,5,7,14,16,23
round5
room1,1,9,12,20,23
room2,2,10,13,16,24
room3,3,6,14,17,25
room4,4,7,15,18,21
room5,5,8,11,19,22
round6
room1,1,10,14,18,22
room2,2,6,15,19,23
room3,3,7,11,20,24
room4,4,8,12,16,25
room5,5,9,13,17,21

round 0 equal.
round1.


25, 0
26, 1
2
3
4

26, 0
1
2
3
25, 4

0
1
2
25, 3
26, 4

0
1
25, 2
26, 3
4

0
25, 1
26, 2
3
4
